Wall time,Step,Value
1572281845.0837119,0,4.711392402648926
1572281845.4627829,5,7.830235004425049
1572281845.6604667,10,1.8655188083648682
1572281845.8547106,15,1.7473342418670654
1572281846.0572238,20,0.8405576944351196
1572281846.2497742,25,0.9413604736328125
1572281846.4491956,30,0.4273824691772461
1572281846.647611,35,0.40809014439582825
1572281846.8419633,40,0.46431872248649597
1572281847.045055,45,0.6128531694412231
1572281847.2331517,50,0.40872251987457275
1572281847.4296749,55,0.5018385052680969
1572281847.6238663,60,0.44549664855003357
1572281847.8252816,65,0.42437607049942017
1572281848.0325103,70,0.26236215233802795
1572281848.2124174,75,0.3554658591747284
1572281848.4209044,80,0.3719024658203125
1572281848.6172962,85,0.2536471486091614
1572281848.8193047,90,0.210373654961586
1572281849.0170875,95,0.1776573210954666
1572281849.2123923,100,0.2996494770050049
1572281849.4291801,105,0.3100583851337433
1572281849.630706,110,0.22499246895313263
1572281849.8319128,115,0.1914963573217392
1572281850.0370195,120,0.21459802985191345
1572281850.2196705,125,0.24507981538772583
1572281850.41917,130,0.2334473729133606
1572281850.6214035,135,0.21744747459888458
1572281850.8202503,140,0.17565879225730896
1572281851.020474,145,0.2376369833946228
1572281851.207105,150,0.23777231574058533
1572281851.4030926,155,0.36884596943855286
1572281851.5977173,160,0.12066864222288132
1572281851.7923205,165,0.27221035957336426
1572281851.9830787,170,0.30987653136253357
1572281852.197967,175,0.26295167207717896
1572281852.4003553,180,0.2592970132827759
1572281852.5943427,185,0.22754260897636414
1572281852.788794,190,0.18773087859153748
1572281852.9805694,195,0.23187002539634705
1572281853.1828187,200,0.20470651984214783
1572281853.3849292,205,0.2465611696243286
1572281853.588253,210,0.1645013391971588
1572281853.7827523,215,0.26701706647872925
1572281853.9778328,220,0.21151509881019592
1572281854.1853065,225,0.24786995351314545
1572281854.3843942,230,0.22774451971054077
1572281854.5844967,235,0.1535300761461258
1572281854.7805734,240,0.13423706591129303
1572281854.975572,245,0.1753980666399002
1572281855.1886,250,0.1694805771112442
1572281855.382224,255,0.16840384900569916
1572281855.5814843,260,0.21905702352523804
1572281855.7802892,265,0.2643282413482666
1572281855.9743516,270,0.1833108514547348
1572281856.1848614,275,0.1402975618839264
1572281856.379547,280,0.1328313797712326
1572281856.5750127,285,0.17753688991069794
1572281856.7691472,290,0.20489101111888885
1572281856.964718,295,0.07860171794891357
1572281857.1724372,300,0.15312053263187408
1572281857.3668013,305,0.1825709491968155
1572281857.561644,310,0.11780758202075958
1572281857.7574193,315,0.16980251669883728
1572281857.9512975,320,0.2094157636165619
1572281858.1594713,325,0.15047453343868256
1572281858.3553803,330,0.20472726225852966
1572281858.55106,335,0.17789767682552338
1572281858.7452192,340,0.0763634443283081
1572281858.935266,345,0.12583522498607635
1572281859.139367,350,0.06251326948404312
1572281859.3361742,355,0.1254785656929016
1572281859.542021,360,0.2054760605096817
1572281859.7393167,365,0.19605642557144165
1572281859.9329987,370,0.13263854384422302
1572281860.1354063,375,0.14055456221103668
1572281860.3323781,380,0.2064938098192215
1572281860.5262055,385,0.08555235713720322
1572281860.7232978,390,0.08745219558477402
1572281860.9154406,395,0.1180594265460968
1572281861.121232,400,0.15199880301952362
1572281861.3274019,405,0.14212775230407715
1572281861.5323546,410,0.10185810923576355
1572281861.7292554,415,0.08686628937721252
1572281861.9252908,420,0.07279885560274124
1572281862.1241782,425,0.11067548394203186
